,tweet,tweet_preprocessing,sentimen
67,"iyaa betul duls, shopee sama tokped udah mitra sama pegadaian. kalo bukaemasâ€¦",iyaa duls shopee tokped udah mitra pegadaian kalo bukaemasâ ,positif
68,bukalapak ðÿ›’ emang ðÿ‘ cincai ðÿ˜© harga ðÿ’¸ santai ðÿ˜ž kagak âœ–ï¸ lebay ðÿ’† dinego ðÿ¦ aje ðÿ‘… say ðÿ’¦ pasti ðÿ§ bisa ðÿ§˜ sayâ€¦,bukalapak ðÿ emang ðÿ cincai ðÿ harga ðÿ santai ðÿ ž kagak âœ ï lebay ðÿ dinego ðÿ aje ðÿ say ðÿ ðÿ ðÿ sayâ ,positif
69,bukalapak ?? emang ?? cincai ?? harga ?? santai ?? kagak ?? lebay ?? dinego ?? aje ?? say ?? pasti ?? bisa ?? say\,bukalapak emang cincai harga santai kagak lebay dinego aje say say ,positif
70,"hai, kak. maaf banget ya udah bikin kakak gak nyaman. terkait kendala kakak untuk nomor transaksi xxâ€¦",hai kak maaf banget ya udah bikin kakak gak nyaman terkait kendala kakak nomor transaksi xxâ ,negatif
71,"hai, kak. maaf banget ya udah bikin kakak gak nyaman. terkait kendala kakak untuk nomor transaksi xx\",hai kak maaf banget ya udah bikin kakak gak nyaman terkait kendala kakak nomor transaksi xx ,negatif
72,terimakasih admin yang cakep dan baik hati. ?? sudah kirim pesan banyak sekali ke pelapak namun tidak dihiraukan ??,terimakasih admin cakep hati kirim pesan pelapak dihiraukan ,negatif
73,bukalapak memang cincau harga santai kagak lebay dinego aje sayy.. pasti bisa sayy..,bukalapak cincau harga santai kagak lebay dinego aje sayy sayy ,positif
74,"yuk langsung aja kepoin marketplace gopayless sekarang juga , tersedia di tokopedia , bukalapak , shopee dan blibli .",yuk langsung aja kepoin marketplace gopayless tersedia tokopedia bukalapak shopee blibli ,positif
75,"yuk langsung aja kepoin marketplace gopayless sekarang juga , tersedia di tokopedia , bukalapak , shopee dan blibli .",yuk langsung aja kepoin marketplace gopayless tersedia tokopedia bukalapak shopee blibli ,positif
76,"biar belanja kamu makin nyaman, yuk top up bni tapcash kamu sekarang di bukalapak dan dapatkan cashbacknya, cuss yuâ€¦",biar belanja nyaman yuk top up bni tapcash bukalapak dapatkan cashbacknya cuss yuâ ,positif
77,"biar belanja kamu makin nyaman, yuk top up bni tapcash kamu sekarang di bukalapak dan dapatkan cashbacknya, cuss yu\",biar belanja nyaman yuk top up bni tapcash bukalapak dapatkan cashbacknya cuss yu ,positif
78,"bukalapak , ovo dan skil academy tolong jangan buat saya pusing !",bukalapak ovo skil academy tolong pusing ,negatif
79,"padahal buku das kapital cuma ribu di bukalapak, udah dapat buku.",buku das kapital ribu bukalapak udah buku ,positif
80,"padahal buku das kapital cuma ribu di bukalapak, udah dapat buku.",buku das kapital ribu bukalapak udah buku ,positif
81,"bukan rekening juga sih soalnya gk ada keterangan bank mana, cuma ak klo mau nabung top up ke alfa klo g\",rekening sih gk keterangan bank ak klo nabung top up alfa klo g ,netral
82,"rt ww banyak juga ya, nih kamu berkesempatan menangin total hadiah jt, caranya gampang banget, top up produk virtual di bukaâ€¦",rt ww ya nih berkesempatan menangin total hadiah jt gampang banget top up produk virtual bukaâ ,positif
83,"rt ww banyak juga ya, nih kamu berkesempatan menangin total hadiah jt, caranya gampang banget, top up produk virtual di buka\",rt ww ya nih berkesempatan menangin total hadiah jt gampang banget top up produk virtual buka ,positif
84,"rt padahal buku das kapital cuma ribu di bukalapak, udah dapat buku.",rt buku das kapital ribu bukalapak udah buku ,positif
85,"rt padahal buku das kapital cuma ribu di bukalapak, udah dapat buku.",rt buku das kapital ribu bukalapak udah buku ,positif
86,iya nih bukalapak sepi sepi aja,iya nih bukalapak sepi sepi aja,negatif
87,bukalapak lagi banyak promo moms,bukalapak promo moms,positif
88,makasih min,makasih min,positif
89,bukalapak chino k | jaket jeans k | kemeja denim k | dll &gt; pin:fce | hp: &lt;,bukalapak chino k jaket jeans k kemeja denim k dll gt pin fce hp lt ,netral
90,"kasus yg gue tanganin, kenalan di mi chat terus open room, suruh tf ke bukalapak. hadehhh hadehhh pusing",yg gue tanganin kenalan mi chat open room suruh tf bukalapak hadehhh hadehhh pusing,negatif
91,kereeeenn bgt pdhl pas th lalu bukalapak udh up bgt.,kereeeenn bgt pdhl pas th bukalapak udh up bgt ,positif
92,cek disini perlengkapan yang kamu butuhkan ada semua dan harganya terbaik untuk kamu.,cek perlengkapan butuhkan harganya terbaik ,positif
93,cek produk new update &gt;&gt;&gt; bukalapak &gt;&gt;,cek produk new update gt gt gt bukalapak gt gt ,netral
94,gratisan buat kamu! pake kode ongkirgratis pas belanja di bukalapak biar ongkir kamu gratis (maks. rprb). berlakuâ€¦,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlakuâ ,positif
95,gratisan buat kamu! pake kode ongkirgratis pas belanja di bukalapak biar ongkir kamu gratis (maks. rprb). berlaku\,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlaku ,positif
96,tau dong setiap hari jumat di bukalapa ada apa??? bukamall festival flash deal!!,tau jumat bukalapa bukamall festival flash deal ,netral
97,"oke kak, jangan lupa jaga kesehatan ya , jika ada pertanyaan atau kendala mengenai bukalapak silakaâ€¦",oke kak lupa jaga kesehatan ya kendala bukalapak silakaâ ,positif
98,"oke kak, jangan lupa jaga kesehatan ya , jika ada pertanyaan atau kendala mengenai bukalapak silaka\",oke kak lupa jaga kesehatan ya kendala bukalapak silaka ,positif
99,tolong ... voucher diterbitkan .. katanya hari aja ... udah ampir sebulan gak ada hasil,tolong voucher diterbitkan aja udah ampir sebulan gak hasil,negatif
100,tolong ... voucher diterbitkan .. katanya hari aja ... udah ampir sebulan gak ada hasil,tolong voucher diterbitkan aja udah ampir sebulan gak hasil,negatif
101,gratisan buat kamu! pake kode ongkirgratis pas belanja di bukalapak biar ongkir kamu gratis (maks. rprb). berlakuâ€¦,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlakuâ ,positif
102,gratisan buat kamu! pake kode ongkirgratis pas belanja di bukalapak biar ongkir kamu gratis (maks. rprb). berlaku\,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlaku ,positif
103,gratisan buat kamu! pake kode ongkirgratis pas belanja di bukalapak biar ongkir kamu gratis (maks. rprb). berlakuâ€¦,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlakuâ ,positif
104,gratisan buat kamu! pake kode ongkirgratis pas belanja di bukalapak biar ongkir kamu gratis (maks. rprb). berlaku\,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlaku ,positif
105,"gila potongan super seller % cuy. pantesan platform ini sepi. jadi super seller atau nggak, sama aja.â€¦",gila potongan super seller cuy pantesan platform sepi super seller nggak aja â ,negatif
106,"gila potongan super seller % cuy. pantesan platform ini sepi. jadi super seller atau nggak, sama aja.\",gila potongan super seller cuy pantesan platform sepi super seller nggak aja ,negatif
107,rt gratisan buat kamu! pake kode ongkirgratis pas belanja di bukalapak biar ongkir kamu gratis (maks. rprb). berlaku khususâ€¦,rt gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlaku khususâ ,positif
108,rt gratisan buat kamu! pake kode ongkirgratis pas belanja di bukalapak biar ongkir kamu gratis (maks. rprb). berlaku khusus\,rt gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlaku khusus ,positif
109,"hai kak, maaf atas ketidaknyamanannya ya. kakak dapat dm bella ya kak untuk infoin detail kendala kamu kak. :) ^bdp",hai kak maaf ketidaknyamanannya ya kakak dm bella ya kak infoin detail kendala kak bdp,negatif
110,saya mengajakmu bergabung ke bukalapak dan memberikanmu credits rp.. cek:,mengajakmu bergabung bukalapak memberikanmu credits rp cek ,positif
111,"hai kak, maaf atas ketidaknyamanannya ya. kakak dapat dm bella ya kak untuk infoin detail kendala kamu kak. :) ^bdp",hai kak maaf ketidaknyamanannya ya kakak dm bella ya kak infoin detail kendala kak bdp,negatif
112,saya mengajakmu bergabung ke bukalapak dan memberikanmu credits rp.. cek:,mengajakmu bergabung bukalapak memberikanmu credits rp cek ,positif
113,investasi emas di,investasi emas,positif
114,investasi emas di,investasi emas,positif
115,gratisan buat kamu! pake kode ongkirgratis pas belanja di bukalapak biar ongkir kamu gratis (maks. rpâ€¦,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rpâ ,positif
116,gratisan buat kamu! pake kode ongkirgratis pas belanja di bukalapak biar ongkir kamu gratis (maks. rp\,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rp ,positif
117,"rt follow terus akun official store kami ya, agar terus mendapakan update terbaru terkait produk kami :)",rt follow akun official store ya mendapakan update terbaru terkait produk ,positif
118,"penjual yg pake super seller bukalapak hasilnya gmn yak sekarang?? yg bukan super seller berasa imbasnya, biasanya\",penjual yg pake super seller bukalapak hasilnya gmn yak yg super seller berasa imbasnya ,negatif
119,gw mau bgt jadi bagian tim ui/ux nya shopee/bukalapak,gw bgt tim ui ux nya shopee bukalapak,positif
120,gw mau bgt jadi bagian tim ui/ux nya shopee/bukalapak,gw bgt tim ui ux nya shopee bukalapak,positif
121,"jual alat rapid test harga ekonomis. bisa beli eceran rp | pesan via bukalapak, klik â†’",jual alat rapid test harga ekonomis beli eceran rp pesan via bukalapak klik â ,positif
122,"jual alat rapid test harga ekonomis. bisa beli eceran rp | pesan via bukalapak, klik ?",jual alat rapid test harga ekonomis beli eceran rp pesan via bukalapak klik ,positif
123,bagaimana proses komplain saya untuk transaksi blipkbmcinv?,proses komplain transaksi blipkbmcinv ,negatif
124,biasanya kalau belanja di bukalapak bayarnya pakai apa? coba vote ðÿ‘‡,belanja bukalapak bayarnya pakai coba vote ðÿ ,netral
125,biasanya kalau belanja di bukalapak bayarnya pakai apa? coba vote ??,belanja bukalapak bayarnya pakai coba vote ,netral
126,"memang tidak profesional, berhati saja kawan, hanya karena lupa kode unik, sampai sekarang hari ke tâ€¦",profesional berhati kawan lupa kode unik tâ ,negatif
127,bahkan admin twiiter ini sangat gak jelas tiao bertanya ni tiket berubah! tpi tanya admin ig live chat tto sm noâ€¦,admin twiiter gak tiao ni tiket berubah tpi admin ig live chat tto sm noâ ,negatif
128,bahkan admin twiiter ini sangat gak jelas tiao bertanya ni tiket berubah! tpi tanya admin ig live chat tto sm no\,admin twiiter gak tiao ni tiket berubah tpi admin ig live chat tto sm no ,negatif
129,saya pastikan ini kali trakhir saya makai sebagai pilihan topuo/aktivitas sehari sangat tiâ€¦,pastikan kali trakhir makai pilihan topuo aktivitas sehari tiâ ,negatif
130,saya pastikan ini kali trakhir saya makai sebagai pilihan topuo/aktivitas sehari sangat ti\,pastikan kali trakhir makai pilihan topuo aktivitas sehari ti ,negatif
131,yang mau order pomade bisa langsung &gt;&gt;&gt; bukalapak,order pomade langsung gt gt gt bukalapak,positif
132,yang mau order pomade bisa langsung &gt;&gt;&gt; bukalapak,order pomade langsung gt gt gt bukalapak,positif
133,"bunyi apatuh?? suara perut kamu?? hihihihi. perut laper, langsung aja buka bukafood, banyak pilihan makanan buat neâ€¦",bunyi apatuh suara perut hihihihi perut laper langsung aja buka bukafood pilihan makanan neâ ,netral
134,"maaf atas ketidaknyamanannya ya kak, perihal kendala kamu bella sudah bantu konfirmasi melalui dm yaâ€¦",maaf ketidaknyamanannya ya kak perihal kendala bella bantu konfirmasi dm yaâ ,negatif
135,"maaf atas ketidaknyamanannya ya kak, perihal kendala kamu bella sudah bantu konfirmasi melalui dm ya\",maaf ketidaknyamanannya ya kak perihal kendala bella bantu konfirmasi dm ya ,negatif
136,basi sudah jawabanmu tiap hari seperti itu gaada kejelasan dan gaada penyelesaian,basi jawabanmu gaada kejelasan gaada penyelesaian,negatif
137,basi sudah jawabanmu tiap hari seperti itu gaada kejelasan dan gaada penyelesaian,basi jawabanmu gaada kejelasan gaada penyelesaian,negatif
138,"mau ngasih tau nih, kalau hari ini belanja dengan metode pembayaran dana kamu bisa dapetin diskon ongkos kirim s/dâ€¦",ngasih tau nih belanja metode pembayaran dana dapetin diskon ongkos kirim s dâ ,positif
139,"mau ngasih tau nih, kalau hari ini belanja dengan metode pembayaran dana kamu bisa dapetin diskon ongkos kirim s/d\",ngasih tau nih belanja metode pembayaran dana dapetin diskon ongkos kirim s d ,positif
140,tidakperlu dm karena balasan kalian akan sama aja kayak robot! buarkan mreka tau gmn cara bukalapak atâ€¦,tidakperlu dm balasan aja kayak robot buarkan mreka tau gmn bukalapak atâ ,negatif
141,tidakperlu dm karena balasan kalian akan sama aja kayak robot! buarkan mreka tau gmn cara bukalapak at\,tidakperlu dm balasan aja kayak robot buarkan mreka tau gmn bukalapak at ,negatif
142,nggak pernah lagi belanja di ono,nggak belanja ono,negatif
143,"sebagai penggemar setia bukalapak, saya mengucapkan terima kasih banyak atas user experience yaâ€¦",penggemar setia bukalapak terima kasih user experience yaâ ,positif
144,"amankah nabung emas disini? kalau misalkan bukalapak merger sama perusahaan lain, bagaimana nasib emas saya?",amankah nabung emas bukalapak merger perusahaan nasib emas ,netral
145,mau coba cicil emas di bukalapak???cuan mi mau bagi promo nih buat kamu nih yang memulai cicilan di bukaemas,coba cicil emas bukalapak cuan mi promo nih nih cicilan bukaemas,positif
146,kak kok penarikan dana kerekning bca status pending ya.,kak penarikan dana kerekning bca status pending ya ,negatif
147,kak kok penarikan dana kerekning bca status pending ya.,kak penarikan dana kerekning bca status pending ya ,negatif
148,gratisan buat kamu! pake kode ongkirgratis pas belanja di bukalapak biar ongkir kamu gratis (maks. rprb). berlakuâ€¦,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlakuâ ,positif
149,gratisan buat kamu! pake kode ongkirgratis pas belanja di bukalapak biar ongkir kamu gratis (maks. rprb). berlaku\,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlaku ,positif
150,cek disini perlengkapan yang kamu butuhkan ada semua dan harganya terbaik untuk kamu.,cek perlengkapan butuhkan harganya terbaik ,positif
151,cek disini perlengkapan yang kamu butuhkan ada semua dan harganya terbaik untuk kamu.,cek perlengkapan butuhkan harganya terbaik ,positif
152,gratisan buat kamu! pake kode ongkirgratis pas belanja di bukalapak biar ongkir kamu gratis (maks. rprb). berlakuâ€¦,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlakuâ ,positif
153,gratisan buat kamu! pake kode ongkirgratis pas belanja di bukalapak biar ongkir kamu gratis (maks. rprb). berlaku\,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlaku ,positif
154,bagaimana kelanjutan dana sayaa saya sangat btuh uang saya itu buat bayar angsuran yaallah tâ€¦,kelanjutan dana sayaa btuh uang bayar angsuran yaallah tâ ,negatif
155,bagaimana kelanjutan dana sayaa saya sangat btuh uang saya itu buat bayar angsâ€¦,kelanjutan dana sayaa btuh uang bayar angsâ ,negatif
156,bagaimana kelanjutan dana sayaa saya sangat btuh uang saya itu buat bayar angsuraâ€¦,kelanjutan dana sayaa btuh uang bayar angsuraâ ,negatif
157,bagaimana kelanjutan dana sayaa saya sangat btuh uang saya itu buat bayar angsuranâ€¦,kelanjutan dana sayaa btuh uang bayar angsuranâ ,negatif
158,bagaimana kelanjutan dana sayaa saya sangat btuh uang saya itu buat bayar angsuran\,kelanjutan dana sayaa btuh uang bayar angsuran ,negatif
159,grgr lupa kode unik kah mas? saya soalnya jg gitu tpi duit gabalik smoe skrg udh hari keâ€¦,grgr lupa kode unik kah mas jg gitu tpi duit gabalik smoe skrg udh keâ ,negatif
160,grgr lupa kode unik kah mas? saya soalnya jg gitu tpi duit gabalik smoe skrg udh hari ke\,grgr lupa kode unik kah mas jg gitu tpi duit gabalik smoe skrg udh ,negatif
161,"lhoo, lama ga ngecek bukalapak, skrg ui nya dah rapi yaaa",lhoo ga ngecek bukalapak skrg ui nya dah rapi yaaa,positif
162,"mohon maaf ya kak udah bikin kamu gak nyaman :( , bella cek kendala kakak di nomor pelaporan â€¦",mohon maaf ya kak udah bikin gak nyaman bella cek kendala kakak nomor pelaporan â ,negatif
163,bagaimana kelanjutan dana sayaa saya sangat btuh uang saya itu buat bayar angsuranâ€¦,kelanjutan dana sayaa btuh uang bayar angsuranâ ,negatif
164,"lhoo, lama ga ngecek bukalapak, skrg ui nya dah rapi yaaa",lhoo ga ngecek bukalapak skrg ui nya dah rapi yaaa,positif
165,"mohon maaf ya kak udah bikin kamu gak nyaman :( , bella cek kendala kakak di nomor pelaporan \",mohon maaf ya kak udah bikin gak nyaman bella cek kendala kakak nomor pelaporan ,negatif
166,bagaimana kelanjutan dana sayaa saya sangat btuh uang saya itu buat bayar angsuran\,kelanjutan dana sayaa btuh uang bayar angsuran ,negatif
167,hanya karena salah kode unik saya udh nungfu hari disuruh nungfu brpa lama lagi woy?,salah kode unik udh nungfu disuruh nungfu brpa woy ,negatif
168,hanya karena salah kode unik saya udh nungfu hari disuruh nungfu brpa lama lagi woy?,salah kode unik udh nungfu disuruh nungfu brpa woy ,negatif
169,yang mau order pomade bisa langsung &gt;&gt;&gt; bukalapak,order pomade langsung gt gt gt bukalapak,positif
170,yang mau order pomade bisa langsung &gt;&gt;&gt; bukalapak,order pomade langsung gt gt gt bukalapak,positif
171,"semakin mudah, sahabat sekarang bisa pilih program-program rumah zakat langsung di bukalapak",mudah sahabat pilih program program rumah zakat langsung bukalapak,positif
172,"semakin mudah, sahabat sekarang bisa pilih program-program rumah zakat langsung di bukalapak",mudah sahabat pilih program program rumah zakat langsung bukalapak,positif
